Menu,Energy (kcal),Protein (g),Fat (g),Carbohydrates (g),Sodium (mg),Portion Size (g)
petai segar,119.022,9.6,3.9,12.9,9,100
sayur tahu,179.967,5.7,13.4,11.3,5,100
sayur tempe,265.051,15.9,17,16.7,7,100
semur tahu,136.947,13.7,4.5,10.6,26,100
tahu,76.002,8.1,4.8,1.9,7,100
tahu goreng,206.018,7.3,20.3,1.7,6,100
air kelapa tua,17.925,0.1,0.3,3.6,1,100
ampas kelapa,353.959,3.3,33.5,15.2,20,100
anggur hutan,30.114,0.1,0.2,7.7,0,100
apel,59.033,0.2,0.4,15.3,0,100
arbei,52.102,0.7,0.4,12.8,0,100
asam mangga,65.008,0.5,0.3,17,2,100
asam masak di pohon,255.013,2.7,0.4,67.2,10,100
belimbing,32.026,0.6,0.4,7.2,2,100
belimbing wuluh,32.026,0.6,0.4,7.2,2,100
buah pisang susu,92.015,1,0.5,23.4,1,100
bungkil kelapa,370.928,1.7,16.8,57.6,11,100
cempedak,115.915,0.8,0.2,31.2,5,100
cerme,59.033,0.2,0.4,15.3,0,100
cimplukan,30.114,0.1,0.2,7.7,0,100
cipleng / jeblokan,30.114,0.1,0.2,7.7,0,100
duku,59.033,0.2,0.4,15.3,0,100
durian,97.99,0.8,0.8,24.8,2,100
duwet,59.033,0.2,0.4,15.3,0,100
gori / nangka muda mentah,43.976,1.4,0.2,10.2,3,100
jambu air,59.033,0.2,0.4,15.3,0,100
jambu biji,50.907,0.8,0.6,11.9,3,100
jambu bol,59.033,0.2,0.4,15.3,0,100
jambu monyet buah,50.907,0.8,0.6,11.9,3,100
jantung pisang,21.032,1.2,0.7,5,6,100
jeruk bali,28.919,1.1,0.3,9.3,2,100
jeruk garut,47.083,0.9,0.1,11.8,0,100
jeruk manis,47.083,0.9,0.1,11.8,0,100
jeruk nipis,28.919,1.1,0.3,9.3,2,100
jus alpukat,79.109,0.5,3.8,11.8,3,100
jus tomat,21.988,0.5,0.2,5.3,5,100
kasreng,59.033,0.2,0.4,15.3,0,100
kedondong masak,32.026,0.6,0.4,7.2,2,100
kedondong muda,32.026,0.6,0.4,7.2,2,100
kelapa 1/2 tua daging,177.099,1.7,16.8,7.6,10,100
kelapa ampas,34.894,0.3,3.4,1.5,2,100
kelapa muda air,17.925,0.1,0.3,3.6,1,100
kelapa muda daging,70.027,0.5,3.4,10,5,100
kelapa muda daging + air,70.027,0.5,3.4,10,5,100
kelapa parutan,177.099,1.7,16.8,7.6,10,100
kelapa tua daging,353.959,3.3,33.5,15.2,20,100
kelengkeng,79.109,1.2,0.2,20.2,3,100
kembang turi rebus belu,21.032,1.2,0.7,5,6,100
kenthos kelapa,353.959,3.3,33.5,15.2,20,100
kepel,59.033,0.2,0.4,15.3,0,100
kesemek / buah genit,65.008,0.5,0.3,17,2,100
kluwih mentah,103.009,1.1,0.2,27.1,2,100
kokosan,59.033,0.2,0.4,15.3,0,100
kolang kaling,43.976,0.2,0.3,11.5,0,100
kulit melinjo,114.959,2.3,0.4,28.6,5,100
kurma,278.913,3,0.5,73.6,11,100
langsat,59.033,0.2,0.4,15.3,0,100
mangga gedong / gadung,65.008,0.5,0.3,17,2,100
mangga golek,65.008,0.5,0.3,17,2,100
mangga harum manis,65.008,0.5,0.3,17,2,100
mangga indramayu,65.008,0.5,0.3,17,2,100
mangga keong masak,65.008,0.5,0.3,17,2,100
mangga kopek,65.008,0.5,0.3,17,2,100
mangga kopyor,65.008,0.5,0.3,17,2,100
mangga krasak,65.008,0.5,0.3,17,2,100
mangga kuweni,65.008,0.5,0.3,17,2,100
mangga masak,65.008,0.5,0.3,17,2,100
mangga muda,65.008,0.5,0.3,17,2,100
mangga nanas,65.008,0.5,0.3,17,2,100
mangga pakel,65.008,0.5,0.3,17,2,100
mangga sengir masak,65.008,0.5,0.3,17,2,100
mangga sepat,65.008,0.5,0.3,17,2,100
mangga telo,65.008,0.5,0.3,17,2,100
manggis,59.033,0.2,0.4,15.3,0,100
matuwa,59.033,0.2,0.4,15.3,0,100
melinjo (buah),47.083,0.9,0.1,11.8,0,100
menteng / kemundung,59.033,0.2,0.4,15.3,0,100
nanas,48.995,0.4,0.4,12.4,1,100
nangka masak di pohon,115.915,0.8,0.2,31.2,5,100
pepaya,38.957,0.6,0.1,9.8,3,100
pepaya muda mentah,21.988,1,0.4,4.5,8,100
pisang ambon,92.015,1,0.5,23.4,1,100
pisang ambon hong matang,92.015,1,0.5,23.4,1,100
pisang ambon mentah,92.015,1,0.5,23.4,1,100
pisang angle,92.015,1,0.5,23.4,1,100
pisang asem matang,92.015,1,0.5,23.4,1,100
pisang hijau,115.915,0.8,0.2,31.2,5,100
pisang jambe,115.915,0.8,0.2,31.2,5,100
pisang jeklek,92.015,1,0.5,23.4,1,100
pisang kapok gembrot,115.915,0.8,0.2,31.2,5,100
pisang kapok kuning,115.915,0.8,0.2,31.2,5,100
pisang kele,92.015,1,0.5,23.4,1,100
pisang kepok,115.915,0.8,0.2,31.2,5,100
pisang kepok bawen / suluh,115.915,0.8,0.2,31.2,5,100
pisang kepok bawen mentah,115.915,0.8,0.2,31.2,5,100
pisang kepok kuning mentah,115.915,0.8,0.2,31.2,5,100
pisang kepok putih mentah,115.915,0.8,0.2,31.2,5,100
pisang klutuk matang,92.015,1,0.5,23.4,1,100
pisang kreak matang,92.015,1,0.5,23.4,1,100
pisang mas,92.015,1,0.5,23.4,1,100
pisang potho,92.015,1,0.5,23.4,1,100
pisang potho mentah,92.015,1,0.5,23.4,1,100
pisang prasmen,92.015,1,0.5,23.4,1,100
pisang prasmen mentah,92.015,1,0.5,23.4,1,100
pisang pulut,92.015,1,0.5,23.4,1,100
pisang raja,92.015,1,0.5,23.4,1,100
pisang raja bandung,92.015,1,0.5,23.4,1,100
pisang raja bandung mentah,92.015,1,0.5,23.4,1,100
pisang raja kawista matang,92.015,1,0.5,23.4,1,100
pisang raja mentah / muda,92.015,1,0.5,23.4,1,100
pisang raja nangka matang,92.015,1,0.5,23.4,1,100
pisang raja nangka mentah,92.015,1,0.5,23.4,1,100
pisang raja sereh (susu),92.015,1,0.5,23.4,1,100
pisang raja uli,92.015,1,0.5,23.4,1,100
pisang rama,92.015,1,0.5,23.4,1,100
pisang rayap matang,92.015,1,0.5,23.4,1,100
pisang santen,92.015,1,0.5,23.4,1,100
pisang siam,115.915,0.8,0.2,31.2,5,100
pondoh kelapa,12.906,1,0.2,2.1,9,100
rambutan,48.995,0.4,0.4,12.4,1,100
rambutan aceh,48.995,0.4,0.4,12.4,1,100
salak,81.977,0.2,0.4,21.3,0,100
santan (kelapa dan air),106.116,1,10.1,4.6,6,100
santan (kelapa saja),353.959,3.3,33.5,15.2,20,100
sawo,82.933,0.3,0.6,21.4,0,100
sawo bludru,82.933,0.3,0.6,21.4,0,100
sawo duren,59.033,0.2,0.4,15.3,0,100
semangka,32.026,0.6,0.4,7.2,2,100
semangka muda,32.026,0.6,0.4,7.2,2,100
setup pepaya,38.957,0.6,0.1,9.8,3,100
sirsak,70.027,0.7,0.3,17.8,2,100
srikaya,79.109,1.2,0.2,20.2,3,100
sukun,103.009,1.1,0.2,27.1,2,100
talok / kersen,30.114,0.1,0.2,7.7,0,100
alpokat,161.086,2,15.3,7.4,10,100
asparagus putih segar,12.906,1,0.2,2.1,9,100
bawang merah,43.976,1.4,0.2,10.2,3,100
bawang putih,87.952,2.8,0.4,20.4,6,100
bayam merah,37.045,3.7,0.2,7.3,11,100
bayam segar,37.045,3.7,0.2,7.3,11,100
bengkuang,43.976,1.4,0.2,10.2,3,100
bening bayam belu,7.887,1,0.1,1.3,23,100
bening selada air and kangkung belu,329.103,3.9,14.8,48,57,100
bening selada air belu,21.032,1,0.4,4.3,8,100
tekokak,39.913,1.8,0.6,8.6,2,100
terong putih mentah,27.963,0.8,0.2,6.6,3,100
terong belanda / ungu,27.963,0.8,0.2,6.6,3,100
tumis bayam and sawi belu,93.927,1.2,10.1,1.2,11,100
tomat muda,21.032,0.9,0.3,4.6,9,100
tumis buah pepaya muda belu,44.932,0.4,2.1,7,2,100
tumis bayam and sawi and timun belu,61.901,1.3,6.1,1.7,10,100
tumis buah labu waluh belu,31.07,0.1,3.1,1.2,0,100
tumis bayam belu,65.964,0.7,7.1,0.9,17,100
tomat masak,21.032,0.9,0.3,4.6,9,100
tumis pucuk labu waluh belu,44.932,0.1,5,0.5,3,100
tumis daun singkong belu,47.083,3,2.2,5.8,9,100
tumis kangkung belu,92.015,2.2,9.2,2,15,100
tumis selada air belu,195.024,0.4,22.1,0.8,4,100
tumis kacang panjang belu,21.032,0.7,1.1,2.8,1,100
tumis selada air kangkung,53.058,0.9,5.1,1.5,7,100
tumis sawi,27.963,1.7,2.1,1.6,12,100
tumis terong belu,23.9,0.7,0.2,5.7,3,100
blusdru,20.076,0.9,0.3,4.3,1,100
uceng,83.889,5.4,0.2,15.6,3,100
waluh kuning mentah,20.076,0.5,0.3,4.4,1,100
waluh beligo,20.076,0.9,0.3,4.3,1,100
buncis mentah,34.894,1.9,0.3,7.9,3,100
bunga bawang merah,21.032,1.2,0.7,5,6,100
bunga krandan,21.032,1.2,0.7,5,6,100
cabe merah,27.007,1,0.3,5.8,15,100
cabe rawit,318.109,12,17.3,56.6,30,100
cesim,15.057,2.3,0.2,2.1,16,100
